Country,Date,Confirmed,Deaths,Recovered
Antigua and Barbuda,2020-4-14,0,0,3
Antigua and Barbuda,2020-4-15,0,0,0
Antigua and Barbuda,2020-4-16,0,1,0
Antigua and Barbuda,2020-4-17,0,0,0
Antigua and Barbuda,2020-4-18,0,0,0
Antigua and Barbuda,2020-4-19,0,0,0
Antigua and Barbuda,2020-4-20,0,0,0
Antigua and Barbuda,2020-4-21,0,0,4
Antigua and Barbuda,2020-4-22,1,0,3
Argentina,2020-1-22,0,0,0
Argentina,2020-1-23,0,0,0
Argentina,2020-1-24,0,0,0
Argentina,2020-1-25,0,0,0
Argentina,2020-1-26,0,0,0
Argentina,2020-1-27,0,0,0
Argentina,2020-1-28,0,0,0
Argentina,2020-1-29,0,0,0
Argentina,2020-1-30,0,0,0
Argentina,2020-1-31,0,0,0
Argentina,2020-2-1,0,0,0
Argentina,2020-2-2,0,0,0
Argentina,2020-2-3,0,0,0
Argentina,2020-2-4,0,0,0
Argentina,2020-2-5,0,0,0
Argentina,2020-2-6,0,0,0
Argentina,2020-2-7,0,0,0
Argentina,2020-2-8,0,0,0
Argentina,2020-2-9,0,0,0
Argentina,2020-2-10,0,0,0
Argentina,2020-2-11,0,0,0
Argentina,2020-2-12,0,0,0
Argentina,2020-2-13,0,0,0
Argentina,2020-2-14,0,0,0
Argentina,2020-2-15,0,0,0
Argentina,2020-2-16,0,0,0
Argentina,2020-2-17,0,0,0
Argentina,2020-2-18,0,0,0
Argentina,2020-2-19,0,0,0
Argentina,2020-2-20,0,0,0
Argentina,2020-2-21,0,0,0
Argentina,2020-2-22,0,0,0
Argentina,2020-2-23,0,0,0
Argentina,2020-2-24,0,0,0
Argentina,2020-2-25,0,0,0
Argentina,2020-2-26,0,0,0
Argentina,2020-2-27,0,0,0
Argentina,2020-2-28,0,0,0
Argentina,2020-2-29,0,0,0
Argentina,2020-3-1,0,0,0
Argentina,2020-3-2,0,0,0
Argentina,2020-3-3,1,0,0
Argentina,2020-3-4,0,0,0
Argentina,2020-3-5,0,0,0
Argentina,2020-3-6,1,0,0
Argentina,2020-3-7,6,0,0
Argentina,2020-3-8,4,1,0
Argentina,2020-3-9,0,0,0
Argentina,2020-3-10,5,0,0
Argentina,2020-3-11,2,0,0
Argentina,2020-3-12,0,0,0
Argentina,2020-3-13,12,1,0
Argentina,2020-3-14,3,0,1
Argentina,2020-3-15,11,0,0
Argentina,2020-3-16,11,0,0
Argentina,2020-3-17,12,0,2
Argentina,2020-3-18,11,0,0
Argentina,2020-3-19,18,1,0
Argentina,2020-3-20,31,0,0
Argentina,2020-3-21,30,1,0
Argentina,2020-3-22,108,0,0
Argentina,2020-3-23,35,0,0
Argentina,2020-3-24,86,2,49
Argentina,2020-3-25,0,2,0
Argentina,2020-3-26,115,1,11
Argentina,2020-3-27,87,4,9
Argentina,2020-3-28,101,5,0
Argentina,2020-3-29,55,1,0
Argentina,2020-3-30,75,4,156
Argentina,2020-3-31,234,4,12
Argentina,2020-4-1,0,1,8
Argentina,2020-4-2,79,8,8
Argentina,2020-4-3,132,3,10
Argentina,2020-4-4,186,4,13
Argentina,2020-4-5,0,1,1
Argentina,2020-4-6,103,4,45
Argentina,2020-4-7,74,8,13
Argentina,2020-4-8,87,7,20
Argentina,2020-4-9,80,9,7
Argentina,2020-4-10,180,10,10
Argentina,2020-4-11,0,1,65
Argentina,2020-4-12,167,7,28
Argentina,2020-4-13,66,7,47
Argentina,2020-4-14,69,5,44
Argentina,2020-4-15,166,9,37
Argentina,2020-4-16,128,4,35
Argentina,2020-4-17,98,8,35
Argentina,2020-4-18,89,6,19
Argentina,2020-4-19,81,3,24
Argentina,2020-4-20,102,4,28
Argentina,2020-4-21,90,11,103
Argentina,2020-4-22,113,5,32
Armenia,2020-1-22,0,0,0
Armenia,2020-1-23,0,0,0
Armenia,2020-1-24,0,0,0
Armenia,2020-1-25,0,0,0
Armenia,2020-1-26,0,0,0
Armenia,2020-1-27,0,0,0
Armenia,2020-1-28,0,0,0
Armenia,2020-1-29,0,0,0
Armenia,2020-1-30,0,0,0
Armenia,2020-1-31,0,0,0
Armenia,2020-2-1,0,0,0
Armenia,2020-2-2,0,0,0
Armenia,2020-2-3,0,0,0
Armenia,2020-2-4,0,0,0
Armenia,2020-2-5,0,0,0
Armenia,2020-2-6,0,0,0
Armenia,2020-2-7,0,0,0
Armenia,2020-2-8,0,0,0
Armenia,2020-2-9,0,0,0
Armenia,2020-2-10,0,0,0
Armenia,2020-2-11,0,0,0
Armenia,2020-2-12,0,0,0
Armenia,2020-2-13,0,0,0
Armenia,2020-2-14,0,0,0
Armenia,2020-2-15,0,0,0
Armenia,2020-2-16,0,0,0
Armenia,2020-2-17,0,0,0
Armenia,2020-2-18,0,0,0
Armenia,2020-2-19,0,0,0
Armenia,2020-2-20,0,0,0
Armenia,2020-2-21,0,0,0
Armenia,2020-2-22,0,0,0
Armenia,2020-2-23,0,0,0
Armenia,2020-2-24,0,0,0
Armenia,2020-2-25,0,0,0
Armenia,2020-2-26,0,0,0
Armenia,2020-2-27,0,0,0
Armenia,2020-2-28,0,0,0
Armenia,2020-2-29,0,0,0
Armenia,2020-3-1,1,0,0
Armenia,2020-3-2,0,0,0
